-0.459142	-nan
0.514389	-nan
-0.403322	0.260934
0.158239	0.199862
0.533001	0.592562
0.00946367	0.256925
0.521997	-nan
-0.190734	0.898053
0.907539	1.59847
0.96996	0.617851
-0.563311	1.51873
-0.816605	1.37692
0.554658	-nan
-0.69002	-nan
0.755079	1.32628
-0.349073	-nan
-0.589167	-nan
0.149573	-nan
-0.693026	0.592868
1.50156	-nan
0.000996562	0.877508
-0.275753	0.355166
0.169118	0.48149
-0.182892	-nan
1.54531	0.131713
1.10093	2.088
-0.839481	-nan
1.15315	-nan
0.362056	0.165412
0.485824	-nan
-0.647469	-nan
0.302598	0.582069
-0.973024	-nan
0.0170524	-nan
0.714993	-nan
0.496579	-nan
-0.547071	0.963803
2.31388	-nan
0.0500936	-nan
-0.0139939	-nan
-0.237029	1.54562
-2.06931	-nan
-0.283307	-nan
0.15057	0.540716
1.20461	1.41271
0.397046	0.755445
-0.0381532	-nan
-0.699592	2.07962
-2.37004	1.14513
0.41188	1.48843
-1.09424	1.16924
-0.624827	-nan
1.29223	-nan
1.55672	1.04561
1.27119	1.3112
-0.512069	-nan
-0.514988	-nan
-1.1887	-nan
-0.238194	0.48356
0.914352	-nan
-0.0210132	0.767514
0.183805	-nan
0.369228	1.84754
-0.2447	0.918387
-2.68827	1.67008
1.40227	-nan
1.62888	1.61132
-0.984121	-nan
-1.74783	0.982747
0.738927	0.205904
-1.27484	-nan
-0.35593	1.48913
-1.2039	1.41037
0.0402189	-nan
0.481761	-nan
-1.02123	0.546843
0.279864	-nan
0.936671	1.53282
1.93846	-nan
0.159106	2.16379
0.508714	0.593101
1.06698	-nan
0.358571	0.226274
0.507564	0.340399
0.124526	0.13972
-0.548522	-nan
-1.51064	0.667167
0.170164	0.605195
0.870722	-nan
0.60672	-nan
-0.523128	1.27355
-0.702261	1.1745
0.112165	0.265782
-0.0458239	0.624143
-0.704526	2.46284
1.02765	1.94815
0.484532	-nan
-0.998179	1.69871
-0.780095	0.768385
1.36297	1.26691
0.21916	0.77601
-0.199299	-nan
-1.97861	1.01425
-1.45551	0.948439
0.66069	0.175062
-0.58329	1.81236
2.33185	-nan
0.472626	0.972744
-1.39025	0.628363
-0.0788454	1.22132
-1.07303	1.73966
-1.81493	1.39191
0.234527	1.62468
-1.24555	0.77577
0.154704	-nan
0.278212	-nan
-0.788296	0.686303
0.667882	1.79667
0.00375409	-nan
0.1794	-nan
-0.935456	-nan
0.653558	-nan
1.61597	0.53906
1.32824	-nan
-2.21577	-nan
0.248679	-nan
-0.588325	-nan
0.935585	2.6642
-1.56587	2.02334
0.90653	-nan
1.26177	-nan
0.377389	0.635953
0.0256099	1.10887
1.4193	-nan
-0.00507192	-nan
-1.18287	-nan
-2.70471	-nan
-0.480089	0.373799
0.231894	-nan
-0.919558	1.98203
-0.41694	0.817784
1.26389	-nan
-1.79059	0.630352
0.0618103	0.847419
1.54789	0.447566
-2.24003	1.44284
0.407465	-nan
-0.687455	-nan
1.01981	1.02417
1.4477	0.41215
-1.33258	-nan
0.638988	-nan
0.472477	-nan
-0.33874	-nan
-1.86142	0.57304
-0.656877	1.2721
-0.307794	0.34604
-0.679525	0.687148
-1.98333	-nan
0.699961	0.371176
-0.774044	1.79985
0.0987409	1.28032
-1.07885	-nan
-0.709817	-nan
-0.84727	0.190544
1.55074	-nan
-0.954439	0.355647
-0.055419	0.611107
0.603654	-nan
-0.471305	0.305481
0.607674	-nan
0.920988	-nan
-0.0846628	0.975178
-0.548944	0.192442
1.11519	-nan
-1.03278	-nan
-0.152329	-nan
0.713255	-nan
-0.797514	-nan
-0.802823	0.755948
1.81065	-nan
0.495716	-nan
1.06036	1.07185
-0.105886	-nan
-0.43361	-nan
-0.626253	0.885229
1.07864	0.841103
0.016904	-nan
-1.23757	1.08619
-1.11204	1.1021
-0.612267	-nan
0.705771	-nan
0.519698	1.43476
-0.558293	-nan
-1.23406	-nan
0.520722	0.361609
0.571922	1.18059
-0.404564	1.15871
0.134835	0.979626
-0.347444	-nan
